epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,511.842,1.39678,1.27683,0.01842,0.6746,0.60588,0.66032,0.36547,1.56639,1.55256,0.03275,0.0009159,0.0009159,0.0009159
120,515.965,1.38604,1.2501,0.01805,0.66547,0.57819,0.6384,0.34457,1.63611,1.41797,0.03547,0.00091095,0.00091095,0.00091095
121,520.373,1.43508,1.27274,0.0197,0.63154,0.57254,0.62429,0.33298,1.66554,1.48799,0.03664,0.000906,0.000906,0.000906
122,524.464,1.38,1.2581,0.01811,0.69,0.63103,0.67651,0.36972,1.63946,1.3168,0.03496,0.00090105,0.00090105,0.00090105
123,528.812,1.36841,1.28638,0.01741,0.75192,0.57867,0.66218,0.35947,1.63437,1.48458,0.03685,0.0008961,0.0008961,0.0008961
124,533.014,1.36792,1.21891,0.01856,0.74598,0.61611,0.7129,0.3831,1.66961,1.34815,0.03501,0.00089115,0.00089115,0.00089115
125,537.284,1.37752,1.26055,0.01779,0.64012,0.66256,0.67194,0.36106,1.63799,1.36686,0.0342,0.0008862,0.0008862,0.0008862
126,541.41,1.39857,1.27098,0.0192,0.7425,0.60411,0.65959,0.3483,1.73493,1.3968,0.03847,0.00088125,0.00088125,0.00088125
127,545.523,1.35314,1.20716,0.01716,0.66065,0.58415,0.65146,0.35661,1.63352,1.44036,0.035,0.0008763,0.0008763,0.0008763
128,549.804,1.34928,1.23237,0.01796,0.74038,0.63025,0.66692,0.36933,1.5991,1.34716,0.03372,0.00087135,0.00087135,0.00087135
129,553.96,1.42534,1.28615,0.01807,0.63193,0.61506,0.62946,0.33414,1.69538,1.39999,0.03803,0.0008664,0.0008664,0.0008664
130,558.331,1.39613,1.22329,0.01886,0.72552,0.59913,0.67493,0.37487,1.59032,1.42492,0.03438,0.00086145,0.00086145,0.00086145
131,562.503,1.33452,1.16913,0.01666,0.7392,0.59766,0.68002,0.3632,1.56069,1.51689,0.03287,0.0008565,0.0008565,0.0008565
132,566.581,1.38374,1.18927,0.01806,0.71464,0.58892,0.65082,0.36403,1.6203,1.41032,0.03474,0.00085155,0.00085155,0.00085155
133,570.813,1.38383,1.23331,0.01833,0.74742,0.54631,0.62497,0.34118,1.66724,1.37011,0.03594,0.0008466,0.0008466,0.0008466
134,575.038,1.32648,1.14954,0.0166,0.64512,0.64043,0.63209,0.33577,1.69537,1.49057,0.03741,0.00084165,0.00084165,0.00084165
135,579.673,1.37869,1.21754,0.01813,0.70513,0.56568,0.66102,0.34388,1.63459,1.43638,0.0351,0.0008367,0.0008367,0.0008367
136,583.722,1.38154,1.21783,0.01833,0.78268,0.59273,0.67757,0.38098,1.53327,1.31724,0.03099,0.00083175,0.00083175,0.00083175
137,588.081,1.34628,1.22179,0.01716,0.79562,0.61113,0.69909,0.38691,1.54675,1.40169,0.03225,0.0008268,0.0008268,0.0008268
138,592.325,1.33771,1.19568,0.01755,0.82851,0.58132,0.67299,0.37052,1.54954,1.43787,0.03211,0.00082185,0.00082185,0.00082185
139,596.582,1.32547,1.16826,0.01831,0.7267,0.60878,0.6535,0.37223,1.56718,1.52346,0.0338,0.0008169,0.0008169,0.0008169
140,601.007,1.30873,1.20516,0.01755,0.68371,0.59226,0.63254,0.36999,1.5543,1.51325,0.03227,0.00081195,0.00081195,0.00081195
141,605.052,1.33627,1.17048,0.01665,0.68041,0.63193,0.64079,0.37846,1.48995,1.51883,0.03154,0.000807,0.000807,0.000807
142,609.333,1.33114,1.21697,0.0177,0.74227,0.60465,0.68566,0.38381,1.47725,1.42454,0.03034,0.00080205,0.00080205,0.00080205
143,613.097,1.34219,1.20942,0.01678,0.74903,0.56635,0.67872,0.39055,1.43965,1.36909,0.02839,0.0007971,0.0007971,0.0007971
144,617.306,1.30449,1.21477,0.01699,0.8181,0.54863,0.664,0.38174,1.52367,1.35369,0.03091,0.00079215,0.00079215,0.00079215
145,621.65,1.30153,1.14187,0.01701,0.74861,0.57442,0.63794,0.36069,1.55012,1.50761,0.03214,0.0007872,0.0007872,0.0007872
146,626.008,1.35373,1.16414,0.0177,0.72301,0.60417,0.66119,0.3695,1.61609,1.5375,0.0335,0.00078225,0.00078225,0.00078225
147,630.355,1.3349,1.17803,0.01673,0.79729,0.6384,0.68777,0.39944,1.4889,1.48959,0.03013,0.0007773,0.0007773,0.0007773
148,634.45,1.36633,1.21234,0.01728,0.79203,0.60051,0.67854,0.38288,1.56533,1.48851,0.03169,0.00077235,0.00077235,0.00077235
149,638.696,1.33972,1.15862,0.01727,0.82214,0.6078,0.6969,0.40738,1.4734,1.36034,0.02983,0.0007674,0.0007674,0.0007674
