epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,171.94,1.45757,1.18601,0.01898,0.62274,0.63728,0.56847,0.2759,1.79154,1.31842,0.03897,0.00120795,0.00120795,0.00120795
61,174.57,1.42866,1.11734,0.01732,0.58075,0.66013,0.57547,0.27026,1.80976,1.44746,0.03763,0.001203,0.001203,0.001203
62,177.1,1.42853,1.22093,0.01877,0.64988,0.67367,0.65094,0.30132,1.72726,1.36625,0.03528,0.00119805,0.00119805,0.00119805
63,179.523,1.40429,1.12649,0.0176,0.59309,0.60831,0.61156,0.31422,1.63384,1.3279,0.03278,0.0011931,0.0011931,0.0011931
64,181.965,1.46498,1.18996,0.01897,0.77395,0.63497,0.70678,0.33119,1.67514,1.20492,0.03565,0.00118815,0.00118815,0.00118815
65,184.545,1.50958,1.20595,0.01805,0.80116,0.55081,0.65304,0.31639,1.70943,1.2895,0.03601,0.0011832,0.0011832,0.0011832
66,187.155,1.49677,1.09208,0.01908,0.84201,0.61003,0.68969,0.32284,1.77596,1.25167,0.03681,0.00117825,0.00117825,0.00117825
67,189.638,1.44351,1.10776,0.01777,0.63004,0.66088,0.65836,0.30907,1.7954,1.33356,0.03805,0.0011733,0.0011733,0.0011733
68,192.106,1.42432,1.09572,0.01834,0.65131,0.57645,0.60538,0.33495,1.68362,1.34113,0.03468,0.00116835,0.00116835,0.00116835
69,194.674,1.41138,1.16459,0.01747,0.64174,0.56517,0.59487,0.28829,1.78779,1.41427,0.03855,0.0011634,0.0011634,0.0011634
70,197.294,1.44751,1.14771,0.01799,0.6936,0.57283,0.63002,0.30576,1.73092,1.24135,0.03506,0.00115845,0.00115845,0.00115845
71,199.719,1.50572,1.20416,0.01935,0.69441,0.57299,0.61688,0.28905,1.79168,1.27413,0.03569,0.0011535,0.0011535,0.0011535
72,202.417,1.41284,1.09827,0.01798,0.59304,0.60677,0.58951,0.2736,1.79584,1.37883,0.03698,0.00114855,0.00114855,0.00114855
73,204.876,1.43806,1.16175,0.01816,0.68081,0.58353,0.60232,0.29571,1.74995,1.39541,0.03539,0.0011436,0.0011436,0.0011436
74,207.349,1.38068,1.04004,0.01753,0.62912,0.507,0.53096,0.2459,1.78786,1.44866,0.03546,0.00113865,0.00113865,0.00113865
75,209.699,1.40428,1.06937,0.01715,0.6548,0.54482,0.55753,0.27454,1.71967,1.49882,0.03559,0.0011337,0.0011337,0.0011337
76,212.132,1.43658,1.1276,0.01719,0.77128,0.56047,0.63564,0.28616,1.75024,1.37471,0.03527,0.00112875,0.00112875,0.00112875
77,214.832,1.40459,1.06004,0.01776,0.70566,0.61485,0.59374,0.30638,1.75166,1.2787,0.03592,0.0011238,0.0011238,0.0011238
78,217.171,1.42513,1.08703,0.01879,0.757,0.56303,0.6238,0.31271,1.63499,1.31868,0.03255,0.00111885,0.00111885,0.00111885
79,219.561,1.38828,1.0487,0.01728,0.82164,0.49211,0.59585,0.28687,1.6822,1.37922,0.03377,0.0011139,0.0011139,0.0011139
80,222.173,1.46018,1.11987,0.01817,0.6299,0.53548,0.58139,0.27284,1.67595,1.57223,0.03355,0.00110895,0.00110895,0.00110895
81,224.678,1.38884,1.03285,0.01673,0.64949,0.57271,0.58812,0.2987,1.61445,1.52221,0.0317,0.001104,0.001104,0.001104
82,227.47,1.35757,1.08915,0.01763,0.65962,0.57096,0.57528,0.27985,1.71178,1.45873,0.03508,0.00109905,0.00109905,0.00109905
83,229.974,1.39236,1.06669,0.01609,0.69874,0.57467,0.5641,0.2791,1.834,1.50131,0.03979,0.0010941,0.0010941,0.0010941
84,232.455,1.39415,1.00721,0.01643,0.64873,0.55707,0.57453,0.27587,1.86563,1.52165,0.03971,0.00108915,0.00108915,0.00108915
