epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
65,1900.53,0.32862,0.44145,0.13647,0.55199,0.61345,0.58256,0.33741,0.61333,0.74503,0.64449,7.8688e-05,7.8688e-05,7.8688e-05
66,1929.33,0.33259,0.44989,0.13915,0.56237,0.66106,0.60615,0.33617,0.59841,0.801,0.6225,7.8355e-05,7.8355e-05,7.8355e-05
67,1958.04,0.3503,0.44798,0.15074,0.67902,0.64519,0.62332,0.36126,0.62721,0.77727,0.62954,7.8022e-05,7.8022e-05,7.8022e-05
68,1987.48,0.32911,0.44856,0.14043,0.5883,0.62647,0.58021,0.32534,0.6495,0.82067,0.67176,7.7689e-05,7.7689e-05,7.7689e-05
69,2016.11,0.33264,0.43047,0.13864,0.6278,0.55515,0.56212,0.3345,0.64126,0.74141,0.68618,7.7356e-05,7.7356e-05,7.7356e-05
70,2044.96,0.31161,0.43771,0.13687,0.57745,0.61345,0.57662,0.33669,0.64978,0.71965,0.69264,7.7023e-05,7.7023e-05,7.7023e-05
71,2074.01,0.318,0.43636,0.13872,0.52663,0.61149,0.58136,0.34534,0.62768,0.76543,0.67145,7.669e-05,7.669e-05,7.669e-05
72,2102.72,0.32822,0.43631,0.13583,0.56733,0.5817,0.57564,0.33207,0.65777,0.71155,0.67744,7.6357e-05,7.6357e-05,7.6357e-05
73,2131.65,0.32374,0.43004,0.13883,0.58444,0.62792,0.57774,0.33655,0.64841,0.73438,0.66039,7.6024e-05,7.6024e-05,7.6024e-05
74,2160.8,0.35274,0.42887,0.14834,0.59075,0.65608,0.61378,0.34394,0.63304,0.77109,0.64304,7.5691e-05,7.5691e-05,7.5691e-05
75,2189.59,0.33033,0.42605,0.14013,0.60913,0.62424,0.60934,0.33635,0.66431,0.72724,0.68179,7.5358e-05,7.5358e-05,7.5358e-05
76,2218.67,0.31864,0.43739,0.13768,0.57592,0.65173,0.5883,0.3517,0.62304,0.69585,0.60553,7.5025e-05,7.5025e-05,7.5025e-05
77,2247.71,0.33364,0.40915,0.13868,0.61232,0.66251,0.63059,0.3575,0.6518,0.67192,0.66529,7.4692e-05,7.4692e-05,7.4692e-05
78,2276.17,0.29598,0.40398,0.13211,0.602,0.63382,0.58861,0.34904,0.61516,0.7488,0.62436,7.4359e-05,7.4359e-05,7.4359e-05
79,2305.54,0.30951,0.41227,0.13363,0.59696,0.62689,0.58269,0.33509,0.64659,0.75535,0.67113,7.4026e-05,7.4026e-05,7.4026e-05
80,2334.47,0.30638,0.41842,0.13402,0.58486,0.5685,0.55298,0.31112,0.66556,0.78101,0.69383,7.3693e-05,7.3693e-05,7.3693e-05
81,2363.17,0.29231,0.41278,0.12933,0.60575,0.62022,0.58671,0.32392,0.64758,0.82915,0.66683,7.336e-05,7.336e-05,7.336e-05
82,2392.17,0.31484,0.40355,0.12437,0.60015,0.56723,0.54218,0.31407,0.67014,0.79322,0.71007,7.3027e-05,7.3027e-05,7.3027e-05
83,2421.57,0.30101,0.40762,0.13466,0.58885,0.65262,0.59691,0.35464,0.64192,0.74744,0.66031,7.2694e-05,7.2694e-05,7.2694e-05
84,2450.59,0.31751,0.39956,0.12838,0.6388,0.55207,0.54072,0.32952,0.6163,0.74158,0.63031,7.2361e-05,7.2361e-05,7.2361e-05
85,2480.01,0.29893,0.3826,0.13051,0.6485,0.62278,0.60527,0.34798,0.65983,0.71443,0.68885,7.2028e-05,7.2028e-05,7.2028e-05
86,2509.05,0.31007,0.40049,0.12447,0.63614,0.61489,0.6068,0.34439,0.6543,0.7271,0.68484,7.1695e-05,7.1695e-05,7.1695e-05
87,2537.68,0.29569,0.39201,0.12715,0.66587,0.67554,0.63898,0.34794,0.64282,0.71459,0.65086,7.1362e-05,7.1362e-05,7.1362e-05
88,2566.45,0.27839,0.39112,0.12216,0.66409,0.64708,0.64172,0.36112,0.63702,0.7472,0.65127,7.1029e-05,7.1029e-05,7.1029e-05
89,2595.36,0.30074,0.38545,0.13948,0.69573,0.60906,0.65101,0.36881,0.62599,0.7467,0.66409,7.0696e-05,7.0696e-05,7.0696e-05
90,2624.42,0.27942,0.37145,0.11737,0.61252,0.68069,0.62621,0.34364,0.63981,0.70113,0.64392,7.0363e-05,7.0363e-05,7.0363e-05
91,2653.34,0.29184,0.39453,0.12818,0.6951,0.59897,0.60063,0.33257,0.66991,0.69238,0.64753,7.003e-05,7.003e-05,7.003e-05
92,2682,0.31233,0.38491,0.13179,0.60656,0.56069,0.53847,0.32183,0.62663,0.76533,0.62764,6.9697e-05,6.9697e-05,6.9697e-05
93,2710.52,0.30193,0.39125,0.1272,0.58697,0.63585,0.5681,0.32534,0.63322,0.74064,0.66431,6.9364e-05,6.9364e-05,6.9364e-05
94,2739.21,0.28874,0.37908,0.12426,0.62753,0.63122,0.5799,0.32359,0.66033,0.73148,0.69613,6.9031e-05,6.9031e-05,6.9031e-05
95,2767.98,0.29196,0.37497,0.12223,0.68042,0.60831,0.57737,0.32218,0.66394,0.75877,0.68037,6.8698e-05,6.8698e-05,6.8698e-05
96,2796.52,0.28934,0.36603,0.11964,0.66502,0.58372,0.572,0.32339,0.64553,0.69262,0.69771,6.8365e-05,6.8365e-05,6.8365e-05
97,2825.47,0.29017,0.37857,0.122,0.61346,0.59897,0.56609,0.33599,0.65514,0.7039,0.69389,6.8032e-05,6.8032e-05,6.8032e-05
98,2854.18,0.28734,0.36511,0.11682,0.60444,0.57437,0.54272,0.3244,0.65512,0.7019,0.69968,6.7699e-05,6.7699e-05,6.7699e-05
99,2883.21,0.2724,0.36941,0.11263,0.64564,0.61187,0.65163,0.37018,0.64075,0.70981,0.70655,6.7366e-05,6.7366e-05,6.7366e-05
100,2912.32,0.27118,0.37281,0.11612,0.63728,0.57656,0.5993,0.35087,0.64504,0.6908,0.68682,6.7033e-05,6.7033e-05,6.7033e-05
101,2941,0.27916,0.36231,0.10862,0.68771,0.61625,0.61802,0.35309,0.65681,0.72266,0.66121,6.67e-05,6.67e-05,6.67e-05
102,2969.72,0.28514,0.37557,0.11772,0.63605,0.54482,0.54575,0.32358,0.65258,0.72576,0.63158,6.6367e-05,6.6367e-05,6.6367e-05
103,2998.9,0.29005,0.36485,0.11845,0.58863,0.62589,0.59849,0.36065,0.64452,0.72192,0.64539,6.6034e-05,6.6034e-05,6.6034e-05
104,3027.73,0.27055,0.36159,0.1215,0.67339,0.57003,0.60092,0.3522,0.6568,0.71993,0.67475,6.5701e-05,6.5701e-05,6.5701e-05
105,3056.08,0.27694,0.36143,0.11332,0.74051,0.62445,0.63198,0.36302,0.67643,0.69439,0.70664,6.5368e-05,6.5368e-05,6.5368e-05
106,3085.13,0.27821,0.37723,0.11577,0.6875,0.60037,0.60304,0.35444,0.62665,0.7161,0.65803,6.5035e-05,6.5035e-05,6.5035e-05
107,3113.89,0.26465,0.35859,0.11859,0.60595,0.65623,0.59613,0.34422,0.61274,0.71137,0.66583,6.4702e-05,6.4702e-05,6.4702e-05
108,3142.83,0.26906,0.35772,0.11987,0.62934,0.67694,0.61872,0.36462,0.60472,0.7115,0.63072,6.4369e-05,6.4369e-05,6.4369e-05
109,3171.53,0.28601,0.36634,0.11005,0.56411,0.56209,0.51985,0.31232,0.61943,0.7289,0.65986,6.4036e-05,6.4036e-05,6.4036e-05
110,3200.43,0.27119,0.35693,0.12153,0.72791,0.59569,0.59987,0.35819,0.624,0.72815,0.65608,6.3703e-05,6.3703e-05,6.3703e-05
111,3229.37,0.27487,0.35959,0.11554,0.71699,0.59322,0.61004,0.35579,0.65781,0.77099,0.63896,6.337e-05,6.337e-05,6.337e-05
112,3258.13,0.26712,0.3588,0.11147,0.65484,0.62166,0.59343,0.33754,0.64936,0.73515,0.65813,6.3037e-05,6.3037e-05,6.3037e-05
113,3286.99,0.28157,0.3491,0.11668,0.66115,0.63387,0.58517,0.33965,0.65642,0.68428,0.69347,6.2704e-05,6.2704e-05,6.2704e-05
114,3316.03,0.25265,0.34068,0.10853,0.65559,0.59384,0.5835,0.34014,0.66372,0.69643,0.67535,6.2371e-05,6.2371e-05,6.2371e-05
115,3344.49,0.26466,0.35528,0.10437,0.72518,0.61345,0.62091,0.35825,0.63778,0.71907,0.65372,6.2038e-05,6.2038e-05,6.2038e-05
116,3373.98,0.25799,0.33973,0.10697,0.73494,0.63755,0.60345,0.33837,0.65785,0.64899,0.63403,6.1705e-05,6.1705e-05,6.1705e-05
117,3402.76,0.25534,0.32809,0.10187,0.66072,0.63725,0.61917,0.35347,0.63587,0.65033,0.63487,6.1372e-05,6.1372e-05,6.1372e-05
118,3431.43,0.26132,0.33857,0.10059,0.67156,0.65966,0.62059,0.34953,0.64746,0.66307,0.67608,6.1039e-05,6.1039e-05,6.1039e-05
119,3459.91,0.26233,0.34687,0.10692,0.67511,0.64519,0.59542,0.32895,0.65907,0.67413,0.6546,6.0706e-05,6.0706e-05,6.0706e-05
120,3489.22,0.26212,0.35154,0.11592,0.6988,0.66246,0.61329,0.34913,0.65265,0.66089,0.6705,6.0373e-05,6.0373e-05,6.0373e-05
121,3518,0.25895,0.34854,0.11393,0.63537,0.63893,0.61299,0.35409,0.66546,0.66082,0.65084,6.004e-05,6.004e-05,6.004e-05
122,3546.76,0.26559,0.35596,0.1117,0.66588,0.61284,0.62962,0.36053,0.67575,0.67277,0.69108,5.9707e-05,5.9707e-05,5.9707e-05
123,3575.54,0.25032,0.33505,0.10421,0.81258,0.62286,0.64982,0.36319,0.68563,0.65506,0.69152,5.9374e-05,5.9374e-05,5.9374e-05
124,3604.39,0.2706,0.34792,0.1099,0.64424,0.65593,0.60374,0.34535,0.67386,0.65141,0.65343,5.9041e-05,5.9041e-05,5.9041e-05
125,3632.85,0.28274,0.35706,0.11522,0.61038,0.62455,0.58334,0.33273,0.67747,0.70037,0.68093,5.8708e-05,5.8708e-05,5.8708e-05
126,3661.67,0.25433,0.34486,0.10294,0.74656,0.59367,0.59675,0.33421,0.7091,0.66816,0.70561,5.8375e-05,5.8375e-05,5.8375e-05
127,3690.62,0.25951,0.35749,0.10861,0.72661,0.60831,0.60483,0.34352,0.70482,0.64133,0.70316,5.8042e-05,5.8042e-05,5.8042e-05
128,3719.43,0.26335,0.33902,0.11067,0.66981,0.64799,0.60565,0.34894,0.6987,0.6294,0.68916,5.7709e-05,5.7709e-05,5.7709e-05
129,3748.39,0.26105,0.34422,0.10624,0.68369,0.65194,0.61242,0.34278,0.69361,0.64146,0.6883,5.7376e-05,5.7376e-05,5.7376e-05
130,3777.08,0.23993,0.33656,0.10076,0.72603,0.61043,0.61483,0.3643,0.68162,0.64694,0.6407,5.7043e-05,5.7043e-05,5.7043e-05
131,3805.97,0.25055,0.33818,0.10696,0.65191,0.69148,0.64308,0.37804,0.66109,0.64583,0.64963,5.671e-05,5.671e-05,5.671e-05
132,3835.56,0.24605,0.33868,0.10415,0.66222,0.69416,0.62519,0.36148,0.6612,0.62184,0.66302,5.6377e-05,5.6377e-05,5.6377e-05
133,3864.33,0.24192,0.32726,0.10562,0.70249,0.66478,0.64827,0.37393,0.67075,0.62494,0.66233,5.6044e-05,5.6044e-05,5.6044e-05
134,3893.21,0.23713,0.3256,0.09762,0.72002,0.60881,0.62126,0.36359,0.66907,0.63377,0.66238,5.5711e-05,5.5711e-05,5.5711e-05
135,3922.14,0.25332,0.32908,0.10052,0.74787,0.62125,0.64371,0.36918,0.66714,0.64161,0.66638,5.5378e-05,5.5378e-05,5.5378e-05
136,3951.03,0.23971,0.32769,0.10324,0.71677,0.62037,0.61295,0.35571,0.66155,0.65823,0.6535,5.5045e-05,5.5045e-05,5.5045e-05
137,3979.38,0.25704,0.32799,0.11465,0.72503,0.61445,0.62084,0.35518,0.67835,0.65835,0.67093,5.4712e-05,5.4712e-05,5.4712e-05
138,4008.2,0.24348,0.32589,0.09896,0.62092,0.62138,0.60591,0.35083,0.66569,0.61952,0.72016,5.4379e-05,5.4379e-05,5.4379e-05
139,4036.86,0.2258,0.31681,0.09073,0.69132,0.63636,0.63695,0.36388,0.67723,0.61094,0.70119,5.4046e-05,5.4046e-05,5.4046e-05
140,4065.38,0.24416,0.32692,0.10336,0.71121,0.64176,0.61064,0.36072,0.65606,0.62234,0.68157,5.3713e-05,5.3713e-05,5.3713e-05
141,4094.7,0.23274,0.32648,0.09545,0.72957,0.65009,0.63469,0.35873,0.67361,0.63391,0.69936,5.338e-05,5.338e-05,5.338e-05
142,4123.56,0.24188,0.32998,0.0969,0.66209,0.58056,0.5895,0.34818,0.66085,0.66272,0.65935,5.3047e-05,5.3047e-05,5.3047e-05
143,4152.41,0.23098,0.32131,0.10462,0.65389,0.62558,0.5974,0.34197,0.66267,0.70418,0.64777,5.2714e-05,5.2714e-05,5.2714e-05
144,4181.16,0.23462,0.32751,0.09771,0.69666,0.60971,0.59909,0.35064,0.65497,0.6767,0.6291,5.2381e-05,5.2381e-05,5.2381e-05
145,4209.49,0.23102,0.3244,0.10995,0.6865,0.61127,0.6257,0.36237,0.67673,0.63673,0.65705,5.2048e-05,5.2048e-05,5.2048e-05
146,4238.21,0.24372,0.32272,0.0992,0.70137,0.61806,0.62515,0.36825,0.67416,0.6431,0.6577,5.1715e-05,5.1715e-05,5.1715e-05
147,4266.88,0.25226,0.32874,0.10481,0.6405,0.64693,0.61512,0.36009,0.65949,0.67768,0.65149,5.1382e-05,5.1382e-05,5.1382e-05
148,4295.85,0.2338,0.32794,0.1012,0.68271,0.64893,0.6005,0.34837,0.67308,0.67158,0.66834,5.1049e-05,5.1049e-05,5.1049e-05
149,4324.5,0.23136,0.31706,0.09959,0.68337,0.62045,0.62312,0.3591,0.69507,0.62835,0.70155,5.0716e-05,5.0716e-05,5.0716e-05
150,4353.21,0.21298,0.30547,0.09198,0.70218,0.63473,0.60196,0.35992,0.67914,0.63574,0.66924,5.0383e-05,5.0383e-05,5.0383e-05
151,4381.91,0.22936,0.31364,0.09416,0.69377,0.62726,0.63398,0.37296,0.6718,0.60924,0.70863,5.005e-05,5.005e-05,5.005e-05
152,4410.48,0.22341,0.31961,0.08901,0.69864,0.63492,0.63238,0.37016,0.6863,0.60336,0.70259,4.9717e-05,4.9717e-05,4.9717e-05
153,4439.7,0.22898,0.30055,0.09509,0.70265,0.63492,0.60847,0.35652,0.68072,0.59734,0.66103,4.9384e-05,4.9384e-05,4.9384e-05
154,4468.58,0.23648,0.3177,0.0987,0.73232,0.6358,0.62078,0.35479,0.67645,0.60901,0.68231,4.9051e-05,4.9051e-05,4.9051e-05
155,4497.33,0.23305,0.31195,0.09528,0.70843,0.59384,0.6095,0.34855,0.70219,0.62384,0.72378,4.8718e-05,4.8718e-05,4.8718e-05
156,4526.02,0.22943,0.31223,0.09245,0.65211,0.6129,0.59068,0.33874,0.70071,0.63306,0.70896,4.8385e-05,4.8385e-05,4.8385e-05
157,4555.06,0.22311,0.31281,0.09477,0.68405,0.5817,0.58059,0.33036,0.67018,0.64893,0.65792,4.8052e-05,4.8052e-05,4.8052e-05
158,4583.63,0.23278,0.31209,0.10096,0.69901,0.62832,0.63317,0.35549,0.66398,0.62465,0.67722,4.7719e-05,4.7719e-05,4.7719e-05
159,4612.45,0.22947,0.30952,0.0889,0.77174,0.57737,0.61626,0.35564,0.67833,0.61431,0.70264,4.7386e-05,4.7386e-05,4.7386e-05
160,4641.28,0.23349,0.31669,0.09472,0.6561,0.66084,0.62945,0.347,0.68357,0.6575,0.71891,4.7053e-05,4.7053e-05,4.7053e-05
161,4669.71,0.23128,0.32049,0.09232,0.62187,0.60177,0.56619,0.31381,0.66192,0.69525,0.69083,4.672e-05,4.672e-05,4.672e-05
162,4698.29,0.22269,0.31172,0.08764,0.76626,0.676,0.65889,0.35492,0.68106,0.63604,0.72318,4.6387e-05,4.6387e-05,4.6387e-05
163,4727.13,0.23474,0.32882,0.10119,0.79433,0.64859,0.66217,0.37469,0.67358,0.58019,0.71447,4.6054e-05,4.6054e-05,4.6054e-05
164,4755.58,0.22783,0.30539,0.09705,0.82263,0.60559,0.63255,0.35966,0.65823,0.66913,0.69076,4.5721e-05,4.5721e-05,4.5721e-05
165,4784.26,0.21775,0.3053,0.08213,0.82128,0.60985,0.64676,0.36892,0.67605,0.69786,0.69663,4.5388e-05,4.5388e-05,4.5388e-05
166,4813.19,0.22784,0.31761,0.09331,0.8223,0.55392,0.59422,0.33819,0.69538,0.68557,0.70657,4.5055e-05,4.5055e-05,4.5055e-05
167,4841.94,0.23276,0.31532,0.09559,0.7139,0.6238,0.61443,0.35288,0.66743,0.6676,0.68194,4.4722e-05,4.4722e-05,4.4722e-05
168,4871.06,0.21486,0.30183,0.08797,0.75443,0.60436,0.6095,0.34262,0.65067,0.67236,0.65752,4.4389e-05,4.4389e-05,4.4389e-05
169,4899.69,0.22798,0.307,0.09361,0.74868,0.62129,0.61173,0.3472,0.66208,0.67185,0.68635,4.4056e-05,4.4056e-05,4.4056e-05
